"","country","continent","out_degree","in_degree","out_strength","scope"
"Marshall Islands","Marshall Islands","Oceania",0,1,0,"global"
"Faeroe Islands","Faeroe Islands","Europe",0,1,0,"global"
"Palau","Palau","Oceania",0,1,0,"global"
"Tuvalu","Tuvalu","Oceania",0,2,0,"global"
"San Marino","San Marino","Europe",0,2,0,"global"
"Micronesia(Federated States of)","Micronesia(Federated States of)","Oceania",0,2,0,"global"
"Nauru","Nauru","Oceania",0,3,0,"global"
"Luxembourg","Luxembourg","Europe",0,3,0,"global"
"Dominica","Dominica","Americas",0,4,0,"global"
"Eritrea","Eritrea","Africa",0,4,0,"global"
"Tonga","Tonga","Oceania",0,4,0,"global"
"Andorra","Andorra","Europe",0,5,0,"global"
"Kiribati","Kiribati","Oceania",0,5,0,"global"
"Cuba","Cuba","Americas",0,5,0,"global"
"Grenada","Grenada","Americas",0,6,0,"global"
"Equatorial Guinea","Equatorial Guinea","Africa",0,6,0,"global"
"Seychelles","Seychelles","Africa",0,6,0,"global"
"Somalia","Somalia","Africa",0,6,0,"global"
"Suriname","Suriname","Americas",0,6,0,"global"
"Vanuatu","Vanuatu","Oceania",0,7,0,"global"
"Saint Kitts and Nevis","Saint Kitts and Nevis","Americas",0,7,0,"global"
"Sao Tome and Principe","Sao Tome and Principe","Africa",0,7,0,"global"
"Solomon Islands","Solomon Islands","Oceania",0,7,0,"global"
"Haiti","Haiti","Americas",0,7,0,"global"
"Guinea-Bissau","Guinea-Bissau","Africa",0,7,0,"global"
"Lesotho","Lesotho","Africa",0,7,0,"global"
"Saint Lucia","Saint Lucia","Americas",0,8,0,"global"
"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines","Americas",0,8,0,"global"
"Togo","Togo","Africa",0,8,0,"global"
"Côte d'Ivoire","Côte d'Ivoire","Africa",0,8,0,"global"
"Turkmenistan","Turkmenistan","Asia",0,8,0,"global"
"Gabon","Gabon","Africa",0,8,0,"global"
"Algeria","Algeria","Africa",0,8,0,"global"
"Mongolia","Mongolia","Asia",0,8,0,"global"
"Comoros","Comoros","Africa",0,8,0,"global"
"Central African Republic","Central African Republic","Africa",0,8,0,"global"
"South Sudan","South Sudan","Africa",0,8,0,"global"
"Libya","Libya","Africa",0,8,0,"global"
"Venezuela","Venezuela","Americas",0,8,0,"global"
"Cape Verde","Cape Verde","Africa",0,8,0,"global"
"Chad","Chad","Africa",0,8,0,"global"
"Mozambique","Mozambique","Africa",0,8,0,"global"
"Congo","Congo","Africa",0,8,0,"global"
"Papua New Guinea","Papua New Guinea","Oceania",0,9,0,"global"
"Bahamas","Bahamas","Americas",0,9,0,"global"
"Syrian Arab Republic","Syrian Arab Republic","Asia",0,9,0,"global"
"Eswatini","Eswatini","Africa",0,9,0,"global"
"Djibouti","Djibouti","Africa",0,9,0,"global"
"Jamaica","Jamaica","Americas",0,9,0,"global"
"Namibia","Namibia","Africa",0,9,0,"global"
"El Salvador","El Salvador","Americas",0,9,0,"global"
"Burkina Faso","Burkina Faso","Africa",0,9,0,"global"
"Cameroon","Cameroon","Africa",0,9,0,"global"
"Timor-Leste","Timor-Leste","Asia",0,10,0,"global"
"Afghanistan","Afghanistan","Asia",0,10,0,"global"
"Kyrgyzstan","Kyrgyzstan","Asia",0,10,0,"global"
"Gambia","Gambia","Africa",0,10,0,"global"
"Cyprus","Cyprus","Europe",0,10,0,"global"
"Nepal","Nepal","Asia",0,10,0,"global"
"Yemen","Yemen","Asia",0,10,0,"global"
"Costa Rica","Costa Rica","Americas",0,10,0,"global"
"Kazakhstan","Kazakhstan","Asia",0,10,0,"global"
"Bahrain","Bahrain","Asia",0,11,0,"global"
"Antigua and Barbuda","Antigua and Barbuda","Americas",0,11,0,"global"
"North Macedonia","North Macedonia","Europe",0,11,0,"global"
"Mali","Mali","Africa",0,11,0,"global"
"Liberia","Liberia","Africa",0,11,0,"global"
"Sudan","Sudan","Africa",0,11,0,"global"
"Bhutan","Bhutan","Asia",0,11,0,"global"
"Iraq","Iraq","Asia",0,11,0,"global"
"Ethiopia","Ethiopia","Africa",0,11,0,"global"
"Bolivia","Bolivia","Americas",0,11,0,"global"
"Sierra Leone","Sierra Leone","Africa",0,11,0,"global"
"Uruguay","Uruguay","Americas",0,11,0,"global"
"Ghana","Ghana","Africa",0,12,0,"global"
"Burundi","Burundi","Africa",0,12,0,"global"
"Democratic Republic of the Congo","Democratic Republic of the Congo","Africa",0,12,0,"global"
"Zimbabwe","Zimbabwe","Africa",0,12,0,"global"
"Myanmar","Myanmar","Asia",0,12,0,"global"
"Cambodia","Cambodia","Asia",0,12,0,"global"
"Angola","Angola","Africa",0,12,0,"global"
"Qatar","Qatar","Asia",0,12,0,"global"
"Jordan","Jordan","Asia",0,12,0,"global"
"Nigeria","Nigeria","Africa",0,12,0,"global"
"Chile","Chile","Americas",0,12,0,"global"
"Poland","Poland","Europe",0,12,0,"global"
