mean,error,protocol,response_time
1,0,XCTP,100
1,0,XCTP,200
1,0,XCTP,225
1,0,XCTP,250
1,0,XCTP,275
0.720491914,0.102728914,XCTP,300
0.157092872,0.166728432,XCTP,325
0.074809321,0.003823939,XCTP,350
0.064305092,0.003156113,XCTP,375
0.055949202,0.001730108,XCTP,400
0.035037285,0.001546059,XCTP,800
1.000375464,0.000121983,MATRIX,100
1.000320704,0.000148227,MATRIX,200
1.000337609,0.00011514,MATRIX,225
1.000436153,0.000155196,MATRIX,250
1.000377863,0.000202404,MATRIX,275
1.00041804,0.000162515,MATRIX,300
1.000497564,0.000132239,MATRIX,325
1.000447763,0.000113701,MATRIX,350
1.000406558,0.000135528,MATRIX,375
1.000374712,0.000173323,MATRIX,400
1.00041521,0.000164306,MATRIX,800
