MATRIX,MHCL,XCTP,RPL
0,9,0,20
0,6,0,0
0,0,0,0
0,0,0,20
0,1,0,20
0,2,0,3
0,0,0,0
0,3,0,17
0,0,0,20
0,5,0,20
0,1,0,1
0,3,0,8
0,1,0,0
0,2,0,0
0,7,0,0
0,4,0,1
0,0,0,20
0,2,0,5
0,0,0,0
0,1,0,20
0,2,0,8
0,1,0,0
0,1,0,11
0,2,0,0
0,0,0,20
0,0,0,0
0,3,0,7
0,1,0,0
0,1,0,0
0,1,0,0
0,0,0,20
0,6,0,0
0,2,0,14
0,0,0,19
0,2,0,20
0,2,0,4
0,1,0,0
0,1,0,0
0,3,0,20
0,3,0,0
0,0,0,0
0,3,0,0
0,1,0,20
0,2,0,20
0,1,0,0
0,1,0,0
0,0,0,3
0,2,0,0
0,2,0,9
0,1,0,20
0,0,0,0
0,1,0,0
0,2,0,20
0,2,0,20
0,0,0,6
0,4,0,5
0,0,0,0
0,1,0,0
0,2,0,0
0,1,0,20
0,3,0,6
0,0,0,20
0,3,0,0
0,1,0,0
0,3,0,20
0,0,0,2
0,2,0,20
0,0,0,20
0,0,0,0
0,3,0,0
0,1,0,14
0,0,0,17
0,2,0,4
0,2,0,1
0,1,0,20
0,4,0,20
0,1,0,0
0,3,0,20
0,1,0,20
0,2,0,7
0,0,0,20
0,1,0,20
0,0,0,0
0,0,0,0
0,0,0,0
0,1,0,1
0,0,0,20
0,0,0,10
0,0,0,15
0,1,0,9
0,0,0,7
0,0,0,11
0,1,0,0
0,0,0,0
0,5,0,0
0,4,0,0
0,1,0,0
0,3,0,0
0,0,0,0
0,0,0,9
0,10,0,20
0,2,0,1
0,2,0,4
0,1,0,20
0,0,0,20
0,0,0,12
0,0,0,6
0,4,0,20
0,0,0,10
0,1,0,20
0,1,0,4
0,0,0,2
0,1,0,0
0,2,0,0
0,7,0,0
0,1,0,0
0,2,0,18
0,0,0,0
0,0,0,6
0,0,0,3
0,0,0,20
0,2,0,14
0,1,0,2
0,2,0,0
0,2,0,20
0,0,0,0
0,1,0,17
0,0,0,0
0,2,0,0
0,0,0,0
0,5,0,18
0,2,0,1
0,1,0,0
