mean,error,protocol,inevitable_losses,mean_plus_losses,scn,x_facet,y_facet
0.993830244,0.005000139,MATRIX,0,0.993830244,1,Static,Static
0.988082607,0.006578896,MATRIX,0.001,0.989082607,2,Short Dur.,Low Prob.
0.979024184,0.006925898,MATRIX,0.006,0.985024184,3,Mod. Dur.,Low Prob.
0.967099843,0.007294773,MATRIX,0.013,0.980099843,4,Long Dur.,Low Prob.
0.9743617,0.005899657,MATRIX,0.008,0.9823617,5,Short Dur.,Mod. Prob.
0.966306012,0.003461253,MATRIX,0.015,0.981306012,6,Mod. Dur.,Mod. Prob.
0.931462785,0.010907327,MATRIX,0.033,0.964462785,7,Long Dur.,Mod. Prob.
0.971577474,0.006250225,MATRIX,0.015,0.986577474,8,Short Dur.,High Prob.
0.947595609,0.008723089,MATRIX,0.033,0.980595609,9,Mod. Dur.,High Prob.
0.878313924,0.022207517,MATRIX,0.066,0.944313924,10,Long Dur.,High Prob.
0.993830244,0.005000139,MHCL,0,0.993830244,1,Static,Static
0.980332663,0.007303636,MHCL,0.001,0.981332663,2,Short Dur.,Low Prob.
0.950227216,0.033260407,MHCL,0.006,0.956227216,3,Mod. Dur.,Low Prob.
0.943456076,0.012256103,MHCL,0.013,0.956456076,4,Long Dur.,Low Prob.
0.957481758,0.007286671,MHCL,0.008,0.965481758,5,Short Dur.,Mod. Prob.
0.930356359,0.006235943,MHCL,0.015,0.945356359,6,Mod. Dur.,Mod. Prob.
0.858443842,0.017800868,MHCL,0.033,0.891443842,7,Long Dur.,Mod. Prob.
0.941168568,0.005993262,MHCL,0.015,0.956168568,8,Short Dur.,High Prob.
0.891386938,0.009979853,MHCL,0.033,0.924386938,9,Mod. Dur.,High Prob.
0.776925666,0.010508503,MHCL,0.066,0.842925666,10,Long Dur.,High Prob.
0.983667155,0.007337531,XCTP,0,0.983667155,1,Static,Static
0.978189005,0.006690731,XCTP,0.001,0.979189005,2,Short Dur.,Low Prob.
0.974823803,0.013289657,XCTP,0.006,0.980823803,3,Mod. Dur.,Low Prob.
0.980046077,0.012794206,XCTP,0.013,0.993046077,4,Long Dur.,Low Prob.
0.982240344,0.010399848,XCTP,0.008,0.990240344,5,Short Dur.,Mod. Prob.
0.970393519,0.012410997,XCTP,0.015,0.985393519,6,Mod. Dur.,Mod. Prob.
0.974374577,0.020064801,XCTP,0.033,1,7,Long Dur.,Mod. Prob.
0.9652315,0.017645096,XCTP,0.015,0.9802315,8,Short Dur.,High Prob.
0.959405978,0.031672971,XCTP,0.033,0.992405978,9,Mod. Dur.,High Prob.
0.965130159,0.017231757,XCTP,0.066,1,10,Long Dur.,High Prob.
0.194304007,0.00473924,RPL,0,0.194304007,1,Static,Static
0.190213853,0.009258898,RPL,0.001,0.191213853,2,Short Dur.,Low Prob.
0.184456197,0.012203192,RPL,0.006,0.190456197,3,Mod. Dur.,Low Prob.
0.19486746,0.00745216,RPL,0.013,0.20786746,4,Long Dur.,Low Prob.
0.186202609,0.009186099,RPL,0.008,0.194202609,5,Short Dur.,Mod. Prob.
0.193801153,0.011540211,RPL,0.015,0.208801153,6,Mod. Dur.,Mod. Prob.
0.196568273,0.0090898,RPL,0.033,0.229568273,7,Long Dur.,Mod. Prob.
0.191389821,0.005840515,RPL,0.015,0.206389821,8,Short Dur.,High Prob.
0.189043516,0.007817239,RPL,0.033,0.222043516,9,Mod. Dur.,High Prob.
0.193823306,0.007245494,RPL,0.066,0.259823306,10,Long Dur.,High Prob.
