STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
035600,99999, 20150101,   48.6,24,   46.1,24, 1024.4,24, 1014.0,24,  10.7,24,  16.5,24,  22.9, 999.9,   54.3*,  40.3 , 0.02G,999.9, 010000,
035600,99999, 20150102,   45.3,24,   35.0,24, 1027.1,24, 1016.5,24,  23.6,24,  12.9,24,  22.0, 999.9,   55.2*,  37.9*, 0.03G,999.9, 000000,
035600,99999, 20150103,   36.8,24,   34.7,24, 1024.0,24, 1013.3,24,   7.7,24,   6.9,24,   9.9, 999.9,   41.0*,  33.4*, 0.10G,999.9, 110000,
035600,99999, 20150104,   31.1,24,   30.7,24, 1034.7,24, 1023.8,24,   0.6,24,   2.0,24,   8.9, 999.9,   35.8*,  27.5 , 0.38G,999.9, 101000,
035600,99999, 20150105,   43.2,24,   40.5,24, 1028.1,24, 1017.5,24,  13.1,24,   6.9,24,   8.9, 999.9,   48.4 ,  33.1 , 0.01G,999.9, 000000,
035600,99999, 20150106,   42.5,24,   39.0,24, 1020.1,24, 1009.6,24,  20.9,24,  10.4,24,  18.1, 999.9,   48.4 ,  35.2*, 0.00G,999.9, 010000,
035600,99999, 20150107,   42.4,24,   38.3,24, 1021.3,24, 1010.7,24,  20.3,24,  12.6,24,  20.0, 999.9,   49.1*,  33.8 , 0.02G,999.9, 010000,
035600,99999, 20150108,   46.3,24,   42.5,24, 1019.2,24, 1008.7,24,  16.1,24,   9.6,24,  15.0, 999.9,   52.2*,  41.2*, 0.02G,999.9, 010000,
035600,99999, 20150109,   51.6,24,   45.7,24, 1014.5,24, 1004.2,24,  19.7,24,  16.4,24,  21.0, 999.9,   58.1*,  40.6 , 0.42G,999.9, 010000,
035600,99999, 20150110,   47.5,24,   38.5,24, 1012.0,24, 1001.6,24,  25.3,24,  17.1,24,  25.1, 999.9,   55.0 ,  36.9*, 0.01G,999.9, 010000,
035600,99999, 20150111,   40.8,24,   33.2,24, 1019.6,24, 1009.0,24,  18.0,24,  12.5,24,  17.1, 999.9,   45.3*,  35.1 , 0.12G,999.9, 010000,
035600,99999, 20150112,   47.5,24,   44.4,24, 1007.7,24,  997.4,24,  14.4,24,  14.5,24,  21.0, 999.9,   51.3 ,  42.4 , 0.02G,999.9, 010000,
035600,99999, 20150113,   43.2,24,   38.8,24, 1000.9,24,  990.5,24,  25.6,24,   9.2,24,  15.0, 999.9,   51.8*,  36.1*, 0.43G,999.9, 010000,
035600,99999, 20150114,   38.8,24,   33.4,24, 1001.9,24,  991.5,24,  23.0,24,  13.9,24,  24.1, 999.9,   46.2*,  34.0*, 0.05G,999.9, 010000,
035600,99999, 20150115,   44.1,24,   36.9,24,  987.7,24,  977.5,24,  18.5,24,  17.1,24,  24.1, 999.9,   50.0*,  38.1*, 0.24G,999.9, 010000,
035600,99999, 20150116,   37.3,24,   32.0,24, 1003.0,24,  992.6,24,  20.9,24,   9.2,24,  15.9, 999.9,   43.2 ,  31.1*, 0.02G,999.9, 010000,
035600,99999, 20150117,   34.3,24,   30.1,24, 1011.3,24, 1000.7,24,  22.4,24,   7.2,24,  11.1, 999.9,   40.3 ,  29.5 , 0.00G,999.9, 011000,
035600,99999, 20150118,   34.2,24,   32.0,24, 1012.1,24, 1001.4,24,   8.9,24,   5.4,24,   7.0, 999.9,   38.1 ,  30.9*, 0.06G,999.9, 011000,
035600,99999, 20150119,   32.5,24,   29.1,24, 1014.1,24, 1003.4,24,  16.5,24,   5.4,24,   8.9, 999.9,   36.1 ,  29.1*, 0.00G,999.9, 001000,
035600,99999, 20150120,   30.9,24,   28.8,24, 1010.0,24,  999.3,24,   7.9,24,   5.1,24,   9.9, 999.9,   38.1 ,  23.5 , 0.00G,999.9, 110000,
035600,99999, 20150121,   35.3,24,   33.0,24, 1007.9,24,  997.3,24,   8.1,24,   9.6,24,  15.0, 999.9,   36.9 ,  33.4 , 0.03G,999.9, 010000,
035600,99999, 20150122,   31.6,24,   29.2,24, 1020.8,24, 1010.0,24,   3.6,24,   3.9,24,   5.1, 999.9,   38.7 ,  25.7*, 0.00G,999.9, 000000,
035600,99999, 20150123,   32.1,24,   29.3,24, 1023.2,24, 1012.4,24,   4.4,24,   8.4,24,  15.0, 999.9,   43.2*,  21.2 , 0.01G,999.9, 010000,
035600,99999, 20150124,   38.6,24,   33.7,24, 1025.0,24, 1014.3,24,  14.6,24,  11.9,24,  17.1, 999.9,   43.9*,  34.2*, 0.09G,999.9, 010000,
035600,99999, 20150125,   39.0,24,   35.9,24, 1028.6,24, 1017.9,24,  11.2,24,   7.6,24,  11.1, 999.9,   46.2 ,  30.7 , 0.00G,999.9, 000000,
035600,99999, 20150126,   44.1,24,   39.9,24, 1023.2,24, 1012.7,24,  17.3,24,  10.7,24,  17.1, 999.9,   47.5 ,  36.9*, 0.02G,999.9, 010000,
035600,99999, 20150127,   41.5,24,   36.9,24, 1025.4,24, 1014.8,24,  23.3,24,   9.1,24,  11.1, 999.9,   45.9 ,  36.7 , 0.00G,999.9, 000000,
035600,99999, 20150128,   41.7,24,   35.8,24, 1003.4,24,  993.0,24,  24.8,24,  15.0,24,  24.1, 999.9,   49.6 ,  35.1*, 0.00G,999.9, 010000,
035600,99999, 20150129,   35.0,24,   30.4,24,  983.8,24,  973.4,24,  23.2,24,  12.1,24,  15.9, 999.9,   41.5 ,  32.5*, 0.13G,  0.8, 011000,
035600,99999, 20150130,   34.1,24,   31.4,24,  978.2,24,  968.0,24,  11.5,24,   8.2,24,  14.0, 999.9,   38.8 ,  30.2*, 0.08G,  1.6, 111000,
035600,99999, 20150131,   34.8,24,   30.5,24,  984.5,24,  974.2,24,  21.2,24,  12.4,24,  20.0, 999.9,   38.8 ,  29.1 , 0.45G,  0.8, 010000,
035600,99999, 20150201,   35.6,24,   27.5,24,  999.2,24,  988.7,24,  23.9,24,  15.1,24,  19.0, 999.9,   40.5 ,  29.7*, 0.08G,999.9, 010000,
035600,99999, 20150202,   30.3,24,   23.7,24, 1005.6,24,  994.9,24,  23.3,24,   7.8,24,   8.9, 999.9,   35.6 ,  25.7 , 0.00G,999.9, 001000,
035600,99999, 20150203,   32.8,24,   30.8,24, 1008.9,24,  998.2,24,  11.0,24,   9.6,24,  11.1, 999.9,   37.8 ,  29.3 , 0.00G,  0.8, 011000,
035600,99999, 20150204,   34.3,24,   31.2,24, 1020.4,24, 1009.6,24,  14.2,24,  10.7,24,  14.0, 999.9,   39.4 ,  29.8 , 0.10G,999.9, 010000,
035600,99999, 20150205,   34.1,24,   32.0,24, 1026.9,24, 1016.1,24,  17.3,24,   8.7,24,  13.0, 999.9,   37.2 ,  30.2*, 0.00G,999.9, 011000,
035600,99999, 20150206,   33.1,24,   28.3,24, 1032.9,24, 1022.0,24,  25.2,24,   9.1,24,  14.0, 999.9,   40.1 ,  28.4*, 0.06G,999.9, 000000,
035600,99999, 20150207,   35.2,24,   33.8,24, 1037.1,24, 1026.2,24,   7.3,24,   7.4,24,   9.9, 999.9,   39.6 ,  28.6 , 0.02G,999.9, 010000,
035600,99999, 20150208,   37.8,24,   33.7,24, 1038.3,24, 1027.5,24,   9.9,24,   8.7,24,  13.0, 999.9,   46.0 ,  32.2*, 0.01G,999.9, 000000,
035600,99999, 20150209,   39.4,24,   36.2,24, 1034.2,24, 1023.5,24,  10.9,24,   6.6,24,  11.1, 999.9,   49.1 ,  32.9*, 0.00G,999.9, 000000,
035600,99999, 20150210,   35.0,24,   33.9,24, 1032.7,24, 1021.9,24,   3.4,24,   3.6,24,   7.0, 999.9,   40.5 ,  28.9 , 0.01G,999.9, 111000,
035600,99999, 20150211,   38.5,24,   33.8,24, 1025.1,24, 1014.4,24,  10.2,24,   3.0,24,   6.0, 999.9,   39.6 ,  34.5 , 0.01G,999.9, 000000,
035600,99999, 20150212,   36.9,16,   31.0,16, 1020.2,16, 1009.5,16,   6.7,16,   3.1,16,   7.0, 999.9,   37.9*,  34.7*, 0.00G,999.9, 000000,
035600,99999, 20150213,   41.0,24,   38.3,24, 1003.0,24,  992.6,24,   9.5,24,  12.6,24,  19.0, 999.9,   48.2 ,  34.5*, 0.01E,999.9, 010000,
035600,99999, 20150214,   42.9,24,   42.3,24, 1003.0,24,  992.7,24,   8.3,24,   7.5,24,  11.1, 999.9,   46.2 ,  40.3 , 0.14G,999.9, 010000,
035600,99999, 20150215,   40.5,24,   39.7,24, 1014.0,24, 1003.5,24,   1.7,24,   5.2,24,   8.9, 999.9,   44.4 ,  32.9*, 0.03G,999.9, 110000,
035600,99999, 20150216,   39.4,24,   38.7,24, 1015.9,24, 1005.3,24,   5.6,24,   8.1,24,  11.1, 999.9,   44.1 ,  31.3 , 0.01G,999.9, 111000,
035600,99999, 20150217,   38.5,24,   32.4,24, 1035.0,24, 1024.2,24,  16.0,24,   8.0,24,  12.0, 999.9,   46.4 ,  32.7 , 0.28G,999.9, 000000,
035600,99999, 20150218,   40.5,24,   34.7,24, 1035.5,24, 1024.7,24,  18.6,24,  10.0,24,  15.0, 999.9,   49.3 ,  31.8 , 0.01G,999.9, 000000,
035600,99999, 20150219,   43.2,24,   40.3,24, 1019.2,24, 1008.7,24,  17.0,24,  13.2,24,  18.1, 999.9,   46.2 ,  39.4 , 0.00G,999.9, 010000,
035600,99999, 20150220,   39.7,24,   37.4,24, 1005.6,24,  995.1,24,  14.6,24,   5.3,24,   8.0, 999.9,   43.3 ,  35.4*, 0.22G,999.9, 010000,
035600,99999, 20150221,   37.2,24,   33.0,24, 1001.2,24,  990.7,24,  20.2,24,   9.3,24,  14.0, 999.9,   44.1 ,  32.5*, 0.00G,999.9, 010000,
035600,99999, 20150222,   37.2,24,   34.8,24, 1001.0,24,  990.6,24,  19.3,24,  12.5,24,  22.0, 999.9,   47.8*,  29.8*, 0.02G,999.9, 010000,
035600,99999, 20150223,   39.7,24,   33.4,24,  989.5,24,  979.2,24,  22.4,24,  13.4,24,  18.1, 999.9,   44.4*,  36.9 , 0.20G,999.9, 010000,
035600,99999, 20150224,   41.5,24,   33.2,24, 1002.2,24,  991.9,24,  22.0,24,  14.0,24,  25.1, 999.9,   48.2 ,  36.9 , 0.00G,999.9, 010000,
035600,99999, 20150225,   44.8,24,   41.1,24, 1014.1,24, 1003.7,24,  18.5,24,   6.5,24,   9.9, 999.9,   52.2 ,  35.4 , 0.02G,999.9, 010000,
035600,99999, 20150226,   45.8,24,   42.6,24, 1011.5,24, 1001.2,24,  14.0,24,  11.0,24,  15.0, 999.9,   51.4 ,  34.0*, 0.02G,999.9, 010000,
035600,99999, 20150227,   38.6,23,   30.9,23, 1018.3,23, 1007.6,23,  17.8,23,   7.4,23,  11.1, 999.9,   46.6*,  31.1*, 0.17G,999.9, 000000,
035600,99999, 20150228,   45.6,23,   43.2,23, 1005.8,23,  995.4,23,  14.8,23,  14.4,23,  19.0, 999.9,   51.4*,  38.5*, 0.00G,999.9, 010000,
035600,99999, 20150301,   44.2,24,   35.7,24,  997.4,24,  987.1,24,  21.7,24,  14.4,24,  22.9, 999.9,   50.9*,  36.3*, 0.03G,999.9, 010000,
035600,99999, 20150302,   38.7,24,   29.0,24, 1006.0,24,  995.5,24,  24.5,24,  13.8,24,  27.0, 999.9,   45.7 ,  34.3 , 0.09G,999.9, 010000,
035600,99999, 20150303,   39.1,24,   30.8,24, 1014.5,24, 1004.0,24,  24.8,24,  11.3,24,  19.0, 999.9,   46.2 ,  34.5 , 0.01G,999.9, 010000,
035600,99999, 20150304,   40.3,24,   31.9,24, 1028.3,24, 1017.6,24,  21.1,24,  12.4,24,  22.0, 999.9,   49.5 ,  34.7 , 0.02G,999.9, 000000,
035600,99999, 20150305,   41.1,24,   34.3,24, 1038.0,24, 1027.2,24,  19.9,24,   8.3,24,  17.1, 999.9,   50.4 ,  32.5 , 0.00G,999.9, 000000,
035600,99999, 20150306,   46.3,24,   35.7,24, 1032.1,24, 1021.6,24,  24.1,24,  10.7,24,  15.9, 999.9,   53.8 ,  42.6 , 0.00G,999.9, 000000,
