date,tpi
Nov-72,0
Feb-73,35
May-73,37
Aug-73,41
Nov-73,42
Feb-74,42
May-74,42
Aug-74,41
Nov-74,42
Feb-75,44
May-75,43
Aug-75,44
Nov-75,44
Feb-76,46
May-76,45
Aug-76,47
Nov-76,48
Feb-77,50
May-77,54
Aug-77,55
Nov-77,54
Feb-78,57
May-78,61
Aug-78,64
Nov-78,67
Feb-79,71
May-79,74
Aug-79,83
Nov-79,88
Feb-80,89
May-80,93
Aug-80,94
Nov-80,90
Feb-81,88
May-81,87
Aug-81,86
Nov-81,84
Feb-82,89
May-82,88
Aug-82,86
Nov-82,88
Feb-83,88
May-83,89
Aug-83,88
Nov-83,91
Feb-84,94
May-84,96
Aug-84,95
Nov-84,96
Feb-85,97
May-85,102
Aug-85,99
Nov-85,103
Feb-86,101
May-86,102
Aug-86,103
Nov-86,105
Feb-87,108
May-87,106
Aug-87,109
Nov-87,117
Feb-88,119
May-88,121
Aug-88,128
Nov-88,128
Feb-89,134
May-89,134
Aug-89,138
Nov-89,134
Feb-90,135
May-90,131
Aug-90,126
Nov-90,123
Feb-91,117
May-91,114
Aug-91,114
Nov-91,111
Feb-92,112
May-92,108
Aug-92,106
Nov-92,107
Feb-93,108
May-93,108
Aug-93,111
Nov-93,110
Feb-94,114
May-94,120
Aug-94,124
Nov-94,125
Feb-95,129
May-95,129
Aug-95,130
Nov-95,131
Feb-96,127
May-96,131
Aug-96,131
Nov-96,130
Feb-97,134
May-97,137
Aug-97,140
Nov-97,140
Feb-98,141
May-98,147
Aug-98,148
Nov-98,146
Feb-99,147
May-99,149
Aug-99,152
Nov-99,154
Feb-00,158
May-00,158
Aug-00,162
Nov-00,167
Feb-01,170
May-01,171
Aug-01,177
Nov-01,177
Feb-02,182
May-02,189
Aug-02,188
Nov-02,190
Feb-03,196
May-03,198
Aug-03,198
Nov-03,195
Feb-04,200
May-04,215
Aug-04,213
Nov-04,225
Feb-05,221
May-05,228
Aug-05,221
Nov-05,226
Feb-06,228
May-06,231
Aug-06,228
Nov-06,232
Feb-07,239
May-07,241
Aug-07,248
Nov-07,251
Feb-08,249
May-08,247
Aug-08,246
Nov-08,240
Feb-09,223
May-09,216
Aug-09,216
Nov-09,212
Feb-10,209
May-10,218
Aug-10,219
Nov-10,220
Feb-11,219
May-11,223
Aug-11,220
Nov-11,223
Feb-12,215
May-12,230
Aug-12,223
Nov-12,224
