"Area","Item","Element","2013",flag,
"Argentina","Tea","Area harvested (Ha)","38000","F",
"Argentina","Tea","Yield (Hg/Ha)","27631.58","Fc",
"Bangladesh","Tea","Area harvested (Ha)","58300","",
"Bangladesh","Tea","Yield (Hg/Ha)","10977.7","Fc",
"Bolivia (Plurinational State of)","Tea","Area harvested (Ha)","263.86","",
"Bolivia (Plurinational State of)","Tea","Yield (Hg/Ha)","52071.82","Fc",
"Brazil","Tea","Area harvested (Ha)","372","",
"Brazil","Tea","Yield (Hg/Ha)","20510.75","Fc",
"Myanmar","Tea","Area harvested (Ha)","79900","F",
"Myanmar","Tea","Yield (Hg/Ha)","3967.46","Fc",
"Burundi","Tea","Area harvested (Ha)","9134","",
"Burundi","Tea","Yield (Hg/Ha)","45781.69","Fc",
"Cameroon","Tea","Area harvested (Ha)","2000","F",
"Cameroon","Tea","Yield (Hg/Ha)","23500","Fc",
"Sri Lanka","Tea","Area harvested (Ha)","221969","",
"Sri Lanka","Tea","Yield (Hg/Ha)","15327.82","Fc",
"China mainland","Tea","Area harvested (Ha)","1750000","F",
"China mainland","Tea","Yield (Hg/Ha)","10996.9","Fc",
"Colombia","Tea","Area harvested (Ha)","52","",
"Colombia","Tea","Yield (Hg/Ha)","24038.46","Fc",
"Azerbaijan","Tea","Area harvested (Ha)","473","",
"Azerbaijan","Tea","Yield (Hg/Ha)","12008.46","Fc",
"Ecuador","Tea","Area harvested (Ha)","800","F",
"Ecuador","Tea","Yield (Hg/Ha)","37500","Fc",
"El Salvador","Tea","Area harvested (Ha)","250","F",
"El Salvador","Tea","Yield (Hg/Ha)","19000","Fc",
"Georgia","Tea","Area harvested (Ha)","3500","F",
"Georgia","Tea","Yield (Hg/Ha)","9428.57","Fc",
"Guatemala","Tea","Area harvested (Ha)","500","F",
"Guatemala","Tea","Yield (Hg/Ha)","10200","Fc",
"India","Tea","Area harvested (Ha)","563980","",
"India","Tea","Yield (Hg/Ha)","21433.03","Fc",
"Indonesia","Tea","Area harvested (Ha)","122400","",
"Indonesia","Tea","Yield (Hg/Ha)","12099.67","Fc",
"Iran (Islamic Republic of)","Tea","Area harvested (Ha)","24500","F",
"Iran (Islamic Republic of)","Tea","Yield (Hg/Ha)","65306.12","Fc",
"Japan","Tea","Area harvested (Ha)","45400","",
"Japan","Tea","Yield (Hg/Ha)","18678.41","Fc",
"Kenya","Tea","Area harvested (Ha)","198600","",
"Kenya","Tea","Yield (Hg/Ha)","21772.41","Fc",
"Republic of Korea","Tea","Area harvested (Ha)","2500","F",
"Republic of Korea","Tea","Yield (Hg/Ha)","12800","Fc",
"Lao People's Democratic Republic","Tea","Area harvested (Ha)","2710","F",
"Lao People's Democratic Republic","Tea","Yield (Hg/Ha)","3321.03","Fc",
"Madagascar","Tea","Area harvested (Ha)","600","F",
"Madagascar","Tea","Yield (Hg/Ha)","10000","Fc",
"Malawi","Tea","Area harvested (Ha)","25600","F",
"Malawi","Tea","Yield (Hg/Ha)","21093.75","Fc",
"Malaysia","Tea","Area harvested (Ha)","2711","",
"Malaysia","Tea","Yield (Hg/Ha)","67786.79","Fc",
"Mali","Tea","Area harvested (Ha)","118","F",
"Mali","Tea","Yield (Hg/Ha)","12711.86","Fc",
"Mauritius","Tea","Area harvested (Ha)","672","",
"Mauritius","Tea","Yield (Hg/Ha)","23258.93","Fc",
"Mozambique","Tea","Area harvested (Ha)","14000","F",
"Mozambique","Tea","Yield (Hg/Ha)","16428.57","Fc",
"Nepal","Tea","Area harvested (Ha)","19036","",
"Nepal","Tea","Yield (Hg/Ha)","10815.3","Fc",
"Panama","Tea","Area harvested (Ha)","220","F",
"Panama","Tea","Yield (Hg/Ha)","7727.27","Fc",
"Papua New Guinea","Tea","Area harvested (Ha)","3000","F",
"Papua New Guinea","Tea","Yield (Hg/Ha)","15666.67","Fc",
"Peru","Tea","Area harvested (Ha)","2229","",
"Peru","Tea","Yield (Hg/Ha)","19378.51","Fc",
"Portugal","Tea","Area harvested (Ha)","43","F",
"Portugal","Tea","Yield (Hg/Ha)","32558.14","Fc",
"Zimbabwe","Tea","Area harvested (Ha)","9600","F",
"Zimbabwe","Tea","Yield (Hg/Ha)","19791.67","Fc",
"Réunion","Tea","Area harvested (Ha)","535","F",
"Réunion","Tea","Yield (Hg/Ha)","14953.27","Fc",
"Rwanda","Tea","Area harvested (Ha)","15300","F",
"Rwanda","Tea","Yield (Hg/Ha)","14500","Fc",
"Russian Federation","Tea","Area harvested (Ha)","456","",
"Russian Federation","Tea","Yield (Hg/Ha)","1973.68","Fc",
"Seychelles","Tea","Area harvested (Ha)","90","F",
"Seychelles","Tea","Yield (Hg/Ha)","4666.67","Fc",
"South Africa","Tea","Area harvested (Ha)","650","F",
"South Africa","Tea","Yield (Hg/Ha)","13846.15","Fc",
"China Taiwan Province of","Tea","Area harvested (Ha)","13500","F",
