"ISO3V10","Country","EPI_regions","GEO_subregion","Population2005","GDP_capita.MRYA","landlock","landarea","density","EPI","ENVHEALTH","ECOSYSTEM","ENVHEALTH.1","AIR_E","WATER_E","BIODIVERSITY","PRODUCTIVE_NATURAL_RESOURCES","CLIMATE","DALY_SC","WATER_H","AIR_H","AIR_E.1","WATER_E.1","BIODIVERSITY.1","FOREST","FISH","AGRICULTURE","CLIMATE.1","ACSAT_pt","WATSUP_pt","DALY_pt","INDOOR_pt","PM10_pt","OZONE_H_pt","SO2_pt","OZONE_E_pt","WATQI_pt","WATSTR_pt","WATQI_GEMS.station.data","FORGRO_pt","CRI_pt","EFFCON_pt","AZE_pt","MPAEEZ_pt","EEZTD_pt","MTI_pt","IRRSTR_pt","AGINT_pt","AGSUB_pt","BURNED_pt","PEST_pt","GHGCAP_pt","CO2IND_pt","CO2KWH_pt","ACSAT","WATSUP","DALY","INDOOR","PM10","OZONE_H","SO2","OZONE_E","WATQI","WATQI_GEMS.station.data.1","WATSTR","FORGRO","CRI","EFFCON","AZE","MPAEEZ","EEZTD","MTI","IRRSTR","AGINT","AGSUB","BURNED","PEST","GHGCAP","CO2IND","CO2KWH"
"AGO","Angola","Sub-Saharan Africa","Southern Africa",15941.4,2314.4,0,1.2519e+06,0.2,39.5,8.9,70.1,8.9,49.2,61.6,58.9,81.3,74.6,0,19.8,16,49.2,61.6,58.9,95.4,87.3,61.3,74.6,19.3,20.2,0,0,40,0,98.4,0,29.4,98.3,NA,95.4,99.7,95.7,0,14,74.5,100,97.5,100,100,0,9.1,65.8,95,63,31,53,109,95,91.4,4948.8,0.7,1.36433e+09,57.5,NA,5.5,1,0.5,9.6,0,1.4,0.2549,0.0016,2.2,0,0,15.3,2,20,1.2,343
"ALB","Albania","Central and Eastern Europ","Central Europe",3129.7,4955.3,0,28346.1,34.3,84,89.3,78.6,89.3,99.1,96.5,4,79.4,93.4,99.5,91.3,66.8,99.1,96.5,4,100,62.5,75.6,93.4,89.5,93.2,99.5,47.4,70.1,99.1,98.5,99.8,93,90.3,93,100,5.5,1.6,NA,6,25.1,100,100,90.2,100,78.9,9.1,98.8,85,96.3,91,96,0.3,50,55.5,15.8,0.6,680845,95.8,95.8,0,1,0,0.2,NA,0.6,0.7492,0,0,6.2,0,2.9,2,2.9,1.9,34
"ARE","United Arab Emirates            ","Middle East and North Africa","Arabian Peninsula",4495.8,22698.3,0,74776.6,8.7,64,89.8,38.2,89.8,85.1,27.1,36.6,74.1,26.6,98.9,98.8,62.4,85.1,27.1,36.6,100,50,72.3,26.6,97.7,100,98.9,94.7,11.2,100,70.2,100,0,100,NA,100,100,2.3,NA,1,0,100,51.8,100,100,96.1,13.6,38.6,32.1,9,98,100,0.6,5,125.6,0,12.6,26.3,39.9,NA,41.6,1,0.5,0.2,NA,0.1,1,0.0034,41,0,0,0.5,3,34.1,5.5,844
"ARG","Argentina","Latin America and Caribbe","South America",38747.2,13652.4,0,2.7363e+06,1.3,81.8,91.1,72.5,91.1,87.3,74.9,33.6,71.5,82.3,98,91.3,76.9,87.3,74.9,33.6,75.9,58.8,79.9,82.3,89.5,93.2,98,94.7,51.3,92.4,98.8,75.7,76.4,100,76.4,75.9,39.8,33.9,40,2,17.5,100,74.6,78.4,100,55.7,90.9,87.1,92.7,67,91,96,1.1,5,77.9,140.4,0.5,9.96327e+07,85.8,85.8,24.1,0.9,0.2,3.4,40,0.2,0.8248,0.0044,21.6,13.7,0,6,20,8.9,1.4,306
"ARM","Armenia","Middle East and North Africa","Eastern Europe",3016.3,5011,1,28272.7,30.3,77.8,88,67.5,88,99.4,28,16,82.1,87.2,98.2,83.3,72.5,99.4,28,16,70.1,NA,94.2,87.2,80.1,86.4,98.2,72.2,59,100,98.8,100,31.7,100,NA,70.1,37.7,10.4,0,100,NA,NA,97,94.5,100,79.5,100,98,78.3,85.1,83,92,1,26.4,68.7,0,0.5,0,58.9,NA,68.6,0.9,0.2,1,0,10,NA,NA,2.5,3.5,0,2.8,22,3.3,2.3,138
"AUS","Australia","East Asia and the Pacific","Australia + New Zealand",20155.1,30677.9,0,7.63464e+06,0.3,79.8,99.3,60.4,99.3,84.9,62.5,78.1,91.8,42.5,99.6,100,97.9,84.9,62.5,78.1,100,96.7,78.7,42.5,100,100,99.6,94.7,100,100,69.9,100,75.3,73.4,75.3,100,86.1,79,69.4,78,93.5,100,50.7,79.6,99.9,63.3,100,45.4,76.2,5.9,100,100,0.2,5,15.9,0,12.7,11575.3,85.2,85.2,45.7,1,0.4,7.9,69.4,7.8,0.0651,0.0014,41.9,12.9,0,5,22,30.5,2.5,873
"AUT","Austria","Europe","Western Europe",8189.4,30735.8,1,83160.6,16.3,89.4,98.1,80.7,98.1,97,79.9,71.6,88.2,79.9,99.8,100,92.8,97,79.9,71.6,100,NA,76.4,79.9,100,100,99.8,94.7,87.8,99.2,94.4,99.6,59.8,100,59.8,100,80.1,63,NA,100,NA,NA,100,63.2,22.8,96,100,81.6,82.3,75.7,100,100,0.1,5,34.5,15.7,2.4,1.82848e+06,75.9,75.9,0,1.1,0.4,6.3,NA,10,NA,NA,0,23.3,36,0.5,22,11.8,2.1,225
"AZE","Azerbaijan","Central and Eastern Europ","Eastern Europe",8410.8,5953.4,1,85359.9,14.6,72.2,76.4,67.9,76.4,97.7,48.5,29,85.7,77.1,93,53.6,66.2,97.7,48.5,29,100,NA,71.4,77.1,46.2,61,93,48.4,67,100,95.4,100,31.7,100,NA,100,46.2,11.9,NA,100,NA,NA,82.9,91.1,100,78.4,4.5,88.7,97.1,45.6,54,77,3.9,49,59.2,0,1.9,0,58.9,NA,31.4,1,0.2,1.2,NA,10,NA,NA,14.6,5.6,0,2.9,1,8.1,1.1,505
"BDI","Burundi","Sub-Saharan Africa","Eastern Africa",7547.5,629.8,1,25227,91,54.7,37.6,71.7,37.6,99.5,62.8,62.5,48,81.5,26.1,44.7,53.5,99.5,62.8,62.5,0,NA,95.9,81.5,25.1,64.3,26.1,0,84.1,99.4,99.3,99.6,25.6,63,NA,0,84.1,40.9,NA,100,NA,NA,100,92,100,87.7,100,94,100,50.5,36,79,41,95,38.9,11.6,0.3,1.4636e+06,55.3,NA,0,0.6,0.4,4.1,NA,10,NA,NA,0,5.1,0,1.7,22,5.3,0.8,459
"BEL","Belgium","Europe","Western Europe",10419.1,30004.2,0,30553.3,71.2,78.4,98.8,58,98.8,50.2,52.3,10,76.1,69.5,99.6,100,96,50.2,52.3,10,100,47.4,80.8,69.5,100,100,99.6,94.7,95.4,99.7,0.6,99.8,59.6,100,59.6,100,9.6,11.5,NA,0,0,94.9,100,87.1,22.8,98.6,95.5,77.7,59.7,71.1,100,100,0.2,5,25.4,6.4,41.9,891092,75.7,75.7,49.8,1.1,0,1.2,NA,0,1,-0.001,0,8.2,36,0.2,21,13.8,3.6,268
