Country;Year;tonnes
Argentina;2012;100000
Azerbaijan;2012;11663
Bangladesh;2012;61500
Bolivia_(Plurinational_State_of);2012;1300
Brazil;2012;1496
Burundi;2012;9140
Cameroon;2012;4500
China;2012;1714902
China__mainland;2012;1700000
China__Taiwan_Province_of;2012;14902
Colombia;2012;137
Democratic_Republic_of_the_Congo;2012;3200
Ecuador;2012;2700
El_Salvador;2012;460
Ethiopia;2012;7500
Georgia;2012;2600
Guatemala;2012;500
India;2012;1000000
Indonesia;2012;150100
Iran_(Islamic_Republic_of);2012;158000
Japan;2012;85900
Kenya;2012;369400
Lao_Peoples_Democratic_Republic;2012;890
Madagascar;2012;600
Malawi;2012;53500
Malaysia;2012;17464
Mali;2012;145
Mauritius;2012;1577
Montenegro;2012;100
Mozambique;2012;22000
Myanmar;2012;32000
Nepal;2012;18726
Panama;2012;168
Papua_New_Guinea;2012;4600
Peru;2012;3434
Portugal;2012;136
Runion;2012;750
Republic_of_Korea;2012;3000
Russian_Federation;2012;90
Rwanda;2012;22503
Seychelles;2012;40
South_Africa;2012;870
Sri_Lanka;2012;330000
Thailand;2012;75000
Turkey;2012;225000
Uganda;2012;50915
United_Republic_of_Tanzania;2012;32812
Viet_Nam;2012;216900
Zambia;2012;900
Zimbabwe;2012;19000
