STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
722098,64761, 20130501,   55.0, 8,   46.4, 8, 9999.9, 0, 1029.1, 8,  10.0, 8,   4.7, 8,   9.9, 999.9,   57.2*,  51.8*, 0.00I,999.9, 000000,
722098,64761, 20130502,   59.0, 7,   45.6, 7, 9999.9, 0, 1027.8, 7,  10.0, 7,   7.4, 7,  12.0, 999.9,   60.8*,  55.4*, 0.00I,999.9, 000000,
722098,64761, 20130505,   50.5, 7,   44.9, 7, 9999.9, 0, 1022.9, 7,   9.7, 7,   7.0, 7,   9.9,  17.1,   51.8*,  48.2*, 0.00I,999.9, 000000,
722098,64761, 20130507,   59.4, 9,   55.8, 9, 9999.9, 0, 1019.4, 9,   8.5, 9,   3.2, 9,   6.0, 999.9,   64.4*,  51.8*, 0.00I,999.9, 100000,
722098,64761, 20130508,   58.6, 5,   57.2, 5, 9999.9, 0, 1016.8, 5,   5.2, 5,   8.0, 5,   9.9,  20.0,   60.8*,  57.2*,99.99 ,999.9, 010000,
722098,64761, 20130509,   56.7, 7,   55.9, 7, 9999.9, 0, 1011.8, 7,   5.7, 7,   4.3, 7,   7.0, 999.9,   59.0*,  53.6*,99.99 ,999.9, 010000,
722098,64761, 20130510,   68.4, 9,   56.0, 9, 9999.9, 0, 1013.6, 9,  10.0, 9,   7.5, 9,   9.9, 999.9,   73.4*,  62.6*, 0.00I,999.9, 000000,
722098,64761, 20130514,   54.1, 8,   31.8, 8, 9999.9, 0, 1016.1, 8,  10.0, 8,   7.0, 8,  15.0, 999.9,   57.2*,  50.0*, 0.00I,999.9, 000000,
722098,64761, 20130516,   65.3, 8,   53.2, 8, 9999.9, 0, 1006.6, 8,   9.8, 8,   9.5, 8,  19.0, 999.9,   68.0*,  60.8*, 0.00I,999.9, 000000,
722098,64761, 20130517,   64.4, 9,   44.4, 9, 9999.9, 0, 1016.4, 9,  10.0, 9,   8.1, 9,   9.9, 999.9,   68.0*,  60.8*, 0.00I,999.9, 000000,
722098,64761, 20130518,   60.5, 6,   53.3, 6, 9999.9, 0, 1024.8, 6,  10.0, 6,   8.8, 6,  13.0, 999.9,   64.4*,  59.0*, 0.00I,999.9, 000000,
722098,64761, 20130519,   56.5,10,   53.6,10, 9999.9, 0, 1024.7,10,   5.5,10,   5.7,10,   9.9, 999.9,   59.0*,  55.4*,99.99 ,999.9, 010000,
722098,64761, 20130520,   62.6,12,   60.6,12, 9999.9, 0, 1017.2,12,   4.7,12,   8.1,12,  14.0, 999.9,   68.0*,  55.4*,99.99 ,999.9, 110000,
722098,64761, 20130521,   67.2, 9,   63.6, 9, 9999.9, 0, 1011.5, 9,   8.1, 9,  11.0, 9,  17.1, 999.9,   69.8*,  62.6*, 0.00I,999.9, 000000,
722098,64761, 20130522,   61.2, 8,   59.7, 8, 9999.9, 0, 1011.8, 8,   3.6, 8,   5.8, 8,   8.0, 999.9,   66.2*,  57.2*, 0.00I,999.9, 000000,
722098,64761, 20130523,   63.4,11,   61.8,11, 9999.9, 0, 1012.2,11,   2.8,11,  12.0,11,  15.0, 999.9,   64.4*,  62.6*, 0.00I,999.9, 100000,
722098,64761, 20130524,   61.5,12,   59.5,12, 9999.9, 0, 1005.9,12,   6.3,12,   4.8,12,  13.0, 999.9,   66.2*,  53.6*,99.99 ,999.9, 010000,
722098,64761, 20130525,   48.2, 6,   45.5, 6, 9999.9, 0, 1007.5, 6,   5.2, 6,  15.7, 6,  24.1,  33.0, 9999.9 ,9999.9 ,99.99 ,999.9, 010000,
722098,64761, 20130526,   57.8, 9,   43.2, 9, 9999.9, 0, 1013.5, 9,  10.0, 9,  15.7, 9,  20.0,  27.0,   60.8*,  53.6*, 0.00I,999.9, 000000,
722098,64761, 20130527,   64.7, 7,   41.0, 7, 9999.9, 0, 1019.5, 7,  10.0, 7,  13.7, 7,  18.1, 999.9,   68.0*,  60.8*, 0.00I,999.9, 000000,
722098,64761, 20130528,   56.6, 6,   52.4, 6, 9999.9, 0, 1021.6, 6,   8.5, 6,   2.0, 6,   6.0, 999.9,   64.4*,  48.2*,99.99 ,999.9, 010000,
722098,64761, 20130530,   75.9, 8,   66.2, 8, 9999.9, 0, 1017.6, 8,   9.3, 8,   4.9, 8,   9.9, 999.9,   78.8*,  73.4*, 0.00I,999.9, 000000,
722098,64761, 20130531,   79.1, 7,   66.5, 7, 9999.9, 0, 1016.4, 6,   7.9, 7,  10.7, 7,  17.1, 999.9,   82.4*,  71.6*, 0.00I,999.9, 000000,
722098,64761, 20130601,   70.1, 7,   64.7, 7, 9999.9, 0, 1014.2, 7,   8.6, 7,  11.2, 7,  14.0, 999.9,   73.4*,  64.4*, 0.00I,999.9, 000000,
